0,20218.1
1,15111.9
2,4900.36
3,-15518.6
4,-15518.6
5,-17560.2
6,-21643
7,-29807.5
8,-29807.5
9,-30623.8
10,-32256.3
11,-35520.9
12,-35520.9
13,-35847.3
14,-36500
15,-37805.3
16,-40413.1
17,-40413.1
18,-40413.1
19,-40426.1
20,-40452
21,-40503.9
22,-40607.1
23,-40813.3
24,-40813.3
25,-40833.9
26,-40875.2
27,-40957.8
28,-41122.8
29,-41122.8
30,-41139.3
31,-41172.3
32,-41238.3
33,-41370.3
34,-41634.3
35,-42156.8
36,-42156.8
37,-42209.9
38,-42316.1
39,-42316.1
40,-42326.7
41,-42347.9
42,-42390.2
43,-42474.6
44,-42642.9
45,-42642.9
46,-42659.7
47,-42693.3
48,-42760.2
49,-42760.2
50,-42766.9
51,-42780.2
52,-42806.6
53,-42858
54,-42878.5
55,-42963.3
56,-42963.3
57,-42984.6
58,-43026.7
59,-43110.2
60,-43213.5
61,-43213.5
62,-43230.6
63,-43264.7
64,-43264.7
65,-43268
66,-43274.8
67,-43288.3
68,-43315.1
69,-43368.6
70,-43474.6
71,-43513.7
72,-43597.5
73,-43597.5
74,-43640.1
75,-43718.2
76,-43718.2
77,-43727
78,-43744.4
79,-43779
80,-43779
81,-43782.5
82,-43789.4
83,-43803.1
84,-43830.5
85,-43885.3
86,-43885.3
87,-43890.7
88,-43901.7
89,-43923.6
90,-43967.5
91,-44055.1
92,-44226.4
93,-44226.4
94,-44244.3
95,-44279.9
96,-44279.9
97,-44283.5
98,-44290.6
99,-44304.7
100,-44332.8
101,-44388.8
102,-44388.8
103,-44394.4
104,-44405.6
105,-44428
106,-44472.9
107,-44562.4
108,-44698.5
109,-44698.5
110,-44716.8
111,-44753.1
112,-44753.1
113,-44756.8
114,-44764
115,-44778.3
116,-44806.9
117,-44863.9
118,-44863.9
119,-44869.7
120,-44881.1
121,-44904
122,-44949.5
123,-45036.4
124,-45114.6
125,-45270.4
126,-45581.2
127,-46203.8
128,-47464.2
129,-50138.4
130,-50138.4
131,-50714.6
132,-50714.6
133,-50714.6
134,-50717.5
135,-50723.4
136,-50735.2
137,-50758.4
138,-50804.7
139,-50804.7
140,-50809.3
141,-50818.6
142,-50837.1
143,-50874
144,-50947.9
145,-51075.5
146,-51223
147,-51223
148,-51252.8
149,-51311.3
150,-51311.3
151,-51317.3
152,-51329.2
153,-51352.8
154,-51399.8
155,-51399.8
156,-51404.6
157,-51414.1
158,-51433
159,-51470.8
160,-51470.8
161,-51474.6
162,-51482.1
163,-51497.2
164,-51527.5
165,-51588
166,-51707.9
167,-51707.9
168,-51720.2
169,-51744.5
170,-51792.8
171,-51792.8
172,-51797.6
173,-51807.3
174,-51826.7
175,-51865.4
176,-51942.7
177,-52091.9
178,-52091.9
179,-52107.6
180,-52138.9
181,-52199.1
182,-52253
183,-52373.7
184,-52676.9
185,-52676.9
186,-52676.9
187,-52679.3
188,-52684.3
189,-52694.2
190,-52714
191,-52753.5
192,-52753.5
193,-52757.4
194,-52765.3
195,-52781.1
196,-52812.7
197,-52875.9
198,-53001
199,-53001
200,-53013.8
201,-53039
202,-53089.3
203,-53089.3
204,-53094.4
205,-53104.4
206,-53124.6
207,-53164.8
208,-53245.1
209,-53401.7
210,-53401.7
211,-53418
212,-53450.1
213,-53513.7
214,-53621.2
215,-53621.2
216,-53634.1
217,-53659.6
218,-53710.4
219,-53710.4
220,-53715.5
221,-53725.7
222,-53746
223,-53786.6
224,-53866.6
225,-53986.4
226,-54238
227,-54238
228,-54269.7
229,-54327.6
230,-54327.6
231,-54334
232,-54346.8
233,-54372.2
234,-54422.6
235,-54422.6
236,-54427.8
237,-54438
238,-54458.3
239,-54499
240,-54499
241,-54503.1
242,-54511.2
243,-54527.5
244,-54560.1
245,-54625.1
246,-54753.3
247,-54753.3
248,-54766.6
249,-54792.8
250,-54844.7
251,-54931.5
252,-54931.5
253,-54942
254,-54962.9
255,-55004.5
256,-55087.3
257,-55216.6
258,-55483
259,-55483
260,-55516.6
261,-55582
262,-55662.7
263,-55870.9
264,-56384.1
265,-57214.3
266,-57214.3
267,-57214.3
268,-57219.8
269,-57230.8
270,-57252.6
271,-57295.9
272,-57295.9
273,-57300.2
274,-57308.8
275,-57325.9
276,-57360.1
277,-57428
278,-57428
279,-57434.9
280,-57448.5
281,-57475.8
282,-57530.4
283,-57530.4
284,-57535.9
285,-57546.8
286,-57568.6
287,-57612.3
288,-57699.7
289,-57872.4
290,-57872.4
291,-57890.2
292,-57925.3
293,-57994.9
294,-58108.7
295,-58108.7
296,-58122.7
297,-58150.7
298,-58206.3
299,-58206.3
300,-58212
301,-58223.2
